LONGITUDE,LATITUDE,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
36° 17' 56.0032" E,0° 49' 10.4375" S,17023 - Ol Karia  L.Naivasha,17023 - Ol Karia  L.Naivasha,17023,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607218,0.00000000000,OSERIAN FARM
36° 17' 56.7676" E,0° 49' 11.4425" S,05962 - Ol Karia Highlift W/,05962 - Ol Karia Highlift W/,05962,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607219,0.00000000000,KEN GEN HIGH RISE PUMP STN.
36° 17' 56.4661" E,0° 49' 1.7112" S,05963 - Olkaria Water Intake,05963 - Olkaria Water Intake,05963,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607220,27.00000000000,lake
36° 17' 56.2053" E,0° 49' 7.3961" S,05785 - Oserian Water Pump,05785 - Oserian Water Pump,05785,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607221,700.00000000000,oserian
36° 19' 4.6750" E,0° 49' 17.7710" S,17729 - KENGEN LAB,17729 - KENGEN LAB,17729,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607222,464.00000000000,kengen
36° 18' 57.3619" E,0° 49' 15.7130" S,05582 - Lake View Est._Olkaria,05582 - Lake View Est._Olkaria,05582,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607223,242.00000000000,KENGEN STAFF HSES-SCH
36° 18' 56.1287" E,0° 49' 7.7741" S,17735 - GREEN PARK,17735 - GREEN PARK,17735,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607224,444.00000000000,lake view estate
36° 19' 12.7483" E,0° 48' 58.8183" S,05581 - Lake View Est._Olkaria,05581 - Lake View Est._Olkaria,05581,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607226,348.00000000000,OLKARIA GEOTHERMAL POWER STAT
36° 19' 11.8878" E,0° 48' 52.5391" S,05403 - Power Staff Housing,05403 - Power Staff Housing,05403,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607227,372.00000000000,KEN GEN LAKESIDE ESTATE
36° 19' 11.5735" E,0° 48' 49.9506" S,05876 - Well No.703 Geotherm,05876 - Well No.703 Geotherm,05876,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607228,461.00000000000,KEN GEN GUEST HSE
36° 22' 35.1365" E,0° 49' 49.5964" S,17804 - NO NAME,17804 - NO NAME,17804,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607232,0.00000000000,SHER AGENCIES
36° 24' 19.1649" E,0° 49' 5.7951" S,17119 - Put Sarajevo,17119 - Put Sarajevo,17119,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607236,1049.00000000000,KENDONG RANCH
36° 21' 14.8873" E,0° 49' 48.6473" S,05914 - Sher Agencies,05914 - Sher Agencies,05914,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607243,210.00000000000,main farm
36° 20' 55.8857" E,0° 49' 44.5663" S,17306 - Sulmac Water Intake,17306 - Sulmac Water Intake,17306,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607244,400.00000000000,lake
36° 20' 57.0403" E,0° 49' 47.5025" S,05320 - Sulmac Flowers,05320 - Sulmac Flowers,05320,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607245,3377.00000000000,HOME GROWN MAIN HOSPITAL
36° 20' 49.7507" E,0° 50' 26.9207" S,17131 - Sulmac Co Ltd,17131 - Sulmac Co Ltd,17131,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607246,270.00000000000,finlays
36° 20' 57.0659" E,0° 50' 10.3118" S,17324 - Kptc Repeater,17324 - Kptc Repeater,17324,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607247,50.00000000000,finlay
36° 20' 55.5726" E,0° 50' 14.3578" S,17249 - Sulmac Co Ltd,17249 - Sulmac Co Ltd,17249,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607248,464.00000000000,finlays
36° 20' 59.1479" E,0° 50' 32.4940" S,17386 - Sulmac Co Ltd,17386 - Sulmac Co Ltd,17386,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607249,180.00000000000,finlays
36° 21' 14.3435" E,0° 50' 23.2598" S,17681 - NO NAME,17681 - NO NAME,17681,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607250,0.00000000000,finlays
36° 20' 43.7685" E,0° 49' 58.0154" S,17079 - Sulmac Co Ltd,17079 - Sulmac Co Ltd,17079,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607251,67.00000000000,HEAD MEN CAMP-HOME GROWN
36° 20' 42.1603" E,0° 49' 42.6719" S,05283 - Nyakinyua Farm,05283 - Nyakinyua Farm,05283,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607252,12.00000000000,DOUBLE DUTCH FARM
36° 21' 18.4072" E,0° 50' 9.6957" S,17727 - SHER AGENCIES LTD,17727 - SHER AGENCIES LTD,17727,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607253,808.00000000000,NEAR KARUTURI HOSPITAL
36° 21' 6.9045" E,0° 50' 18.1971" S,05400 - Sulmac Co Ltd,05400 - Sulmac Co Ltd,05400,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607254,803.00000000000,HOME GROWN M.V WORK SHOP
36° 20' 33.1089" E,0° 49' 43.3441" S,05401 - Sulmac Snr Staff Hou,05401 - Sulmac Snr Staff Hou,05401,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607255,32.00000000000,HOME GROWN
36° 20' 26.2570" E,0° 49' 53.0164" S,05257A - Olaragwai,05257A - Olaragwai,05257A,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607256,169.00000000000,KWA MUHIA MKT
36° 20' 19.8554" E,0° 49' 48.5692" S,05516 - M. Thuku,05516 - M. Thuku,05516,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607257,1400.00000000000,KWA MUHIA
36° 19' 59.9552" E,0° 49' 38.6515" S,05246 - Fish Eagle Inns & Fi,05246 - Fish Eagle Inns & Fi,05246,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607258,112.00000000000,FISH EAGLE INN OTHER SIDE OF
36° 19' 52.4461" E,0° 49' 37.4318" S,17964 - NOORDAM ROSES,17964 - NOORDAM ROSES,17964,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607259,3.00000000000,dummen orange
36° 19' 53.6376" E,0° 49' 26.4722" S,17951 - PLANT FACTORY,17951 - PLANT FACTORY,17951,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607260,158.00000000000,agribio
36° 19' 57.5292" E,0° 49' 21.7203" S,05433 - Gold Smith (Sharima),05433 - Gold Smith (Sharima),05433,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607261,50.00000000000,agribio lakes
36° 19' 43.6781" E,0° 49' 24.6214" S,05700 - Kamere Bore Hole,05700 - Kamere Bore Hole,05700,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607262,50.00000000000,PLANTATION PLANTS-KENYA LTD
36° 19' 38.7680" E,0° 49' 12.5492" S,17821 - OR POWER 4 INC.,17821 - OR POWER 4 INC.,17821,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300607263,309.00000000000,ORPOWER STAFF HSES
36° 19' 38.8283" E,0° 49' 2.2524" S,05679 - Kamere Estate,05679 - Kamere Estate,05679,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607264,7.00000000000,kamere
36° 19' 48.9673" E,0° 49' 16.9665" S,05252 - Gold Smith,05252 - Gold Smith,05252,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607265,178.00000000000,kentalya ltd
36° 20' 14.9420" E,0° 49' 43.0119" S,17711 - JOHN BOURKE,17711 - JOHN BOURKE,17711,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607267,3.00000000000,JOHN BOURKE
36° 19' 24.7154" E,0° 49' 6.1253" S,05651 - Kamere House,05651 - Kamere House,05651,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607270,29.00000000000,LAKE VIEW ESTATE
36° 18' 22.0994" E,0° 49' 7.7650" S,05248 - Zwager,05248 - Zwager,05248,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607271,70.00000000000,zger
36° 18' 10.5915" E,0° 49' 12.2771" S,05249 - Oserian Dev Company,05249 - Oserian Dev Company,05249,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607272,50.00000000000,OSERIAN ENG W/SHOP
36° 17' 51.4368" E,0° 49' 23.8240" S,05313 - NO NAME,05313 - NO NAME,05313,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607273,300.00000000000,OSERIAN FARM
36° 17' 56.0715" E,0° 49' 7.1242" S,05250 - OSERIAN DOWN LAKE PUMP,05250 - OSERIAN DOWN LAKE PUMP,05250,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607274,250.00000000000,OSERIAN WATER PUMP
36° 17' 26.1986" E,0° 49' 18.0890" S,05528 - Project B/H Geotherm,05528 - Project B/H Geotherm,05528,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607275,0.00000000000,GOETHERMAL WATER PUMP
36° 16' 52.7264" E,0° 49' 39.2468" S,05312 - Bel,05312 - Bel,05312,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607276,48.00000000000,oserian
36° 16' 49.9656" E,0° 49' 59.9803" S,05369 - Osserian Development,05369 - Osserian Development,05369,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607277,1383.00000000000,OSERIAN FARM
36° 16' 32.0865" E,0° 49' 51.0478" S,17284 - mR AND MS BELLGERI,17284 - mR AND MS BELLGERI,17284,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607278,88.00000000000,kiangazi
36° 15' 50.3731" E,0° 49' 35.4760" S,05289 - Kongoni,05289 - Kongoni,05289,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607279,45.00000000000,kongoni
36° 15' 47.8293" E,0° 49' 21.1872" S,05290 - Oserian Dev Coy,05290 - Oserian Dev Coy,05290,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607280,70.00000000000,oserian
36° 15' 28.7367" E,0° 49' 17.8983" S,17416 - Oserian Dev Coy,17416 - Oserian Dev Coy,17416,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607281,3185.00000000000,stockman
36° 15' 9.6169" E,0° 49' 29.5691" S,17415 - Oserian Dev. Company,17415 - Oserian Dev. Company,17415,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607282,280.00000000000,oserian
36° 14' 53.4715" E,0° 49' 21.4584" S,17423 - Oserian Dev Coy,17423 - Oserian Dev Coy,17423,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607283,45.00000000000,CHAVAUNI ESTATE
36° 14' 40.4129" E,0° 49' 54.3596" S,17694 - OSERIAN CHUI CAMP,17694 - OSERIAN CHUI CAMP,17694,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607284,20.00000000000,OSERIAN CHUI LODGE
36° 14' 23.3357" E,0° 50' 35.8515" S,17693 - OSERIAN CHUI CAMP,17693 - OSERIAN CHUI CAMP,17693,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607285,6.00000000000,OSERIAN
36° 14' 28.8376" E,0° 50' 21.1160" S,DNLT03 - CANDALABRA HOUSE,DNLT03 - CANDALABRA HOUSE,DNLT03,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607286,3.00000000000,CHUI LODGE
36° 15' 32.7651" E,0° 49' 1.4850" S,17750 - NGORIKA CENTER,17750 - NGORIKA CENTER,17750,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607287,166.00000000000,KONGONI MKT
36° 16' 10.6953" E,0° 48' 31.0851" S,05576 - Mundui Estate,05576 - Mundui Estate,05576,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607288,67.00000000000,MUNDUI ESTATE
36° 16' 45.3860" E,0° 47' 52.0261" S,05512 - Kinja Nurseries,05512 - Kinja Nurseries,05512,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607290,134.00000000000,KINJA FLAMINGO CORTAGES
36° 17' 32.0074" E,0° 48' 11.2358" S,05513 - Nderit Towers,05513 - Nderit Towers,05513,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607291,3.00000000000,nderit towers
36° 17' 56.6038" E,0° 48' 0.0441" S,05624 - Rj. Barton,05624 - Rj. Barton,05624,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607292,0.00000000000,BURTON FARM
36° 16' 23.9965" E,0° 47' 27.2598" S,17309 - James Karugu Water P,17309 - James Karugu Water P,17309,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607293,101.00000000000,karungu
36° 16' 14.5425" E,0° 47' 1.9851" S,05509 - Adc_Ndabibi,05509 - Adc_Ndabibi,05509,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607294,0.00000000000,WILSON GACHANJA FARM
36° 16' 21.0630" E,0° 46' 38.1572" S,05510 - Adc_Ndabibi,05510 - Adc_Ndabibi,05510,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607295,0.00000000000,baharini
36° 17' 35.0111" E,0° 46' 45.1725" S,17456 - Dr. Silverstein  & B,17456 - Dr. Silverstein  & B,17456,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607296,50.00000000000,Dr silverstein &b
36° 17' 55.9624" E,0° 46' 50.0444" S,17455 - Dr. Silverstein & Br,17455 - Dr. Silverstein & Br,17455,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607297,19.00000000000,dr slyvester
36° 15' 29.3903" E,0° 47' 0.7279" S,17480 - Crater Lake Ltd,17480 - Crater Lake Ltd,17480,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607298,8.00000000000,NDABIBI
36° 16' 2.6364" E,0° 45' 43.4563" S,18091 - INDIA LTD,18091 - INDIA LTD,18091,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607299,199.00000000000,INDIA
36° 16' 37.4310" E,0° 45' 39.1013" S,17947_3 - NO NAME,17947_3 - NO NAME,17947_3,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607300,260.00000000000,willily
36° 16' 39.2085" E,0° 45' 21.1328" S,17472 - Brig Boineh,17472 - Brig Boineh,17472,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607301,50.00000000000,ziwan
36° 15' 34.4482" E,0° 44' 27.2165" S,17920 - AQUILLA FARM,17920 - AQUILLA FARM,17920,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607302,0.00000000000,Aquila
36° 15' 8.6054" E,0° 44' 13.8916" S,17921 - AQUILA FARM,17921 - AQUILA FARM,17921,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607303,600.00000000000,NDUBIBI
36° 14' 46.2464" E,0° 43' 57.2885" S,17922 - AQUILLA FARM,17922 - AQUILLA FARM,17922,NORTH LAKE SHORE 11KV EX,DCK,Nakuru,300607304,66.00000000000,Aquila
36° 08' 8.7921" E,0° 17' 50.8530" S,05065 - Lanet Petrol Station,05065 - Lanet Petrol Station,05065,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607323,405.00000000000,lanet
36° 08' 22.5289" E,0° 17' 33.5910" S,05067 - Preirie Estate No 2,05067 - Preirie Estate No 2,05067,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607324,267.00000000000,LANET AREA
36° 08' 19.8020" E,0° 17' 13.7215" S,18158 - NO NAME,18158 - NO NAME,18158,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607325,425.00000000000,kiamunyeki
36° 07' 55.3003" E,0° 17' 18.6164" S,05069 - Hiland,05069 - Hiland,05069,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607327,305.00000000000,OFF NAKURU NAIROBI ROAD
36° 08' 3.5344" E,0° 17' 41.7901" S,18223 - NO NAME,18223 - NO NAME,18223,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607328,207.00000000000,LANET- NATIONAL P/ST.
36° 07' 52.7049" E,0° 17' 46.2072" S,05533 - Embu Street,05533 - Embu Street,05533,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607329,166.00000000000,LANET
36° 07' 40.0016" E,0° 17' 17.2334" S,17873 - Neylan,17873 - Neylan,17873,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607331,252.00000000000,KIAMUNYEKI
36° 07' 21.3624" E,0° 17' 24.2809" S,05071 - Kiratina_Free Area,05071 - Kiratina_Free Area,05071,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607335,713.00000000000,REHEMA GOSPEL MINISTRIES
36° 07' 29.8558" E,0° 17' 9.2260" S,17905 - KIRATINA ESTATE_LANET,17905 - KIRATINA ESTATE_LANET,17905,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607336,2167.00000000000,kiratina shopping center
36° 07' 37.5341" E,0° 16' 51.3257" S,18501 - NO NAME,18501 - NO NAME,18501,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607338,1213.00000000000,THELUJI CENTRE KIRATINA
36° 07' 10.6029" E,0° 17' 28.1148" S,18074 - NO NAME,18074 - NO NAME,18074,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607339,159.00000000000,NAKURU
36° 07' 11.4327" E,0° 17' 16.3166" S,05835 - Flamingo Bottlers,05835 - Flamingo Bottlers,05835,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607344,500.00000000000,valley bakery
36° 07' 14.4843" E,0° 17' 1.4721" S,17337 - Buds & Bloom_Free Area,17337 - Buds & Bloom_Free Area,17337,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607345,1007.00000000000,SPIN  KNIT NAKURU
36° 07' 7.6219" E,0° 17' 26.7118" S,05836 - Bakery Nakuru Ind. B,05836 - Bakery Nakuru Ind. B,05836,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607346,3.00000000000,valley bakery-tosti
36° 06' 42.9370" E,0° 17' 16.8548" S,05075 - Free Area,05075 - Free Area,05075,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607347,527.00000000000,NEAR BISMAK PETROL STATION
36° 07' 0.6421" E,0° 17' 10.4892" S,05632 - Nakuru Ind Maisonnet,05632 - Nakuru Ind Maisonnet,05632,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607353,177.00000000000,28 flats estate
36° 06' 27.1085" E,0° 17' 7.1577" S,05764 - PINE BREEZE HOSPITAL,05764 - PINE BREEZE HOSPITAL,05764,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607354,669.00000000000,NAKURU
36° 06' 28.4718" E,0° 17' 10.7148" S,34696 - Mediheal hospital,34696 - Mediheal hospital,34696,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607355,61.00000000000,Near Medheal Hospital
36° 06' 29.8738" E,0° 16' 47.4654" S,05077 - HYRAX PRIMARY SCHOOL,05077 - HYRAX PRIMARY SCHOOL,05077,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607358,200.00000000000,hyrax primary school
36° 06' 0.2374" E,0° 16' 37.5544" S,18422 - WHITE HOUSE,18422 - WHITE HOUSE,18422,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607359,599.00000000000,upper  hill
36° 06' 6.9504" E,0° 16' 50.5195" S,05709 - Hyrax Estate_Lanet,05709 - Hyrax Estate_Lanet,05709,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607360,1112.00000000000,NAKURU
36° 06' 13.2937" E,0° 16' 42.8145" S,18421 - P.C.E.A CHURCH,18421 - P.C.E.A CHURCH,18421,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607361,1399.00000000000,pcea church
36° 06' 4.4283" E,0° 16' 58.6959" S,18420 - SYSTEM REINF MOUNTAIN,18420 - SYSTEM REINF MOUNTAIN,18420,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607362,424.00000000000,NAKURU
36° 05' 53.7028" E,0° 16' 57.3406" S,18670 - SYSTEM REINFORCEMENT-,18670 - SYSTEM REINFORCEMENT-,18670,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607363,151.00000000000,TUSKEYS SUPERMARKET
36° 05' 49.6922" E,0° 16' 56.6308" S,05001 - NAWASCO WATER TANKS.,05001 - NAWASCO WATER TANKS.,05001,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607364,42.00000000000,NAKURU
36° 05' 45.3827" E,0° 16' 55.9293" S,18571 - NAWASCO WATER TANKS.,18571 - NAWASCO WATER TANKS.,18571,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300607365,324.00000000000,NAKURU
36° 05' 21.8426" E,0° 16' 55.2380" S,05003 - Mcn Borehole No. 4,05003 - Mcn Borehole No. 4,05003,MILIMANI  11KV  EX  NAKURU,NAKURU DEPOT,Nakuru,300607366,884.00000000000,NAKURU
36° 07' 50.3291" E,0° 17' 51.3930" S,05731 - Caleb Kiarie,05731 - Caleb Kiarie,05731,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607388,2955.00000000000,LANET
36° 07' 50.9959" E,0° 17' 51.1822" S,05717 - Madaraka Primary Sch,05717 - Madaraka Primary Sch,05717,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607389,4992.00000000000,MADARAKA PR. SCH- LANET
36° 07' 32.9005" E,0° 17' 58.4918" S,05436 - Baharini Wildlife,05436 - Baharini Wildlife,05436,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607390,490.00000000000,ANGLICAN CHURCH {ST STEPHENS
36° 07' 19.9922" E,0° 17' 49.9981" S,17765 - FREE AREA ESTATE,17765 - FREE AREA ESTATE,17765,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607392,4423.00000000000,FREE AREA-NAKURU
36° 07' 6.5736" E,0° 17' 37.8747" S,05002 - Free Area,05002 - Free Area,05002,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607393,2476.00000000000,social hall free area
36° 06' 46.8798" E,0° 17' 24.5458" S,17671 - FLAMINGO BOTTLERS,17671 - FLAMINGO BOTTLERS,17671,SOUTH EX LANET,LANET SUBSTATION,Nakuru,300607394,534.00000000000,NAKURU
